3843	4833	4177	3981	3620	4620	3967	4086	3615	
3849	4812	4156	4035	3615	4604	3955	4106	3617	
3852	4808	4155	3981	3591	4604	3955	4088	3615	
3878	4830	4156	3990	3587	4624	3961	4097	3622	
3879	4766	4156	3996	3575	4598	3998	4121	3622	
3877	4819	4150	4005	3576	4608	3940	4086	3639	
3884	4817	4147	4004	3548	4632	3942	4110	3643	
3891	4824	4144	4017	3556	4641	3916	4091	3613	
3889	4809	4139	4009	3557	4651	3925	4102	3639	
3895	4814	4135	3998	3554	4646	3930	4110	3644	
3898	4833	4136	4014	3542	4635	3903	4091	3627	
3902	4811	4122	4019	3547	4650	3910	4099	3638	
3970	4841	4165	4019	3543	4647	3907	4102	3633	
3918	4855	4173	4024	3538	4654	3914	4098	3632	
3921	4804	4156	4031	3553	4672	3910	4102	3631	
3922	4810	4140	4022	3551	4662	3916	4114	3659	
3925	4798	4134	4010	3544	4707	3939	4100	3639	
3936	4795	4144	4028	3527	4665	3976	4126	3656	
3928	4805	4142	4030	3513	4682	3920	4162	3675	
3932	4783	4150	4031	3514	4709	3890	4097	3705	
3932	4772	4125	4023	3504	4707	3875	4105	3670	
3934	4771	4138	4019	3492	4707	3893	4084	3664	
3931	4758	4148	4025	3500	4726	3885	4089	3656	
3939	4762	4154	4042	3492	4708	3868	4103	3682	
3952	4749	4155	4038	3479	4713	3890	4103	3679	
3975	4750	4160	4031	3482	4716	3901	4101	3678	
3985	4769	4161	4044	3505	4737	3904	4125	3666	
3971	4727	4196	4060	3514	4751	3890	4107	3671	
3954	4717	4154	4063	3491	4719	3874	4127	3669	
3964	4720	4141	4017	3515	4728	3890	4105	3665	
3965	4722	4136	4012	3471	4740	3893	4111	3679	
3960	4713	4154	4026	3494	4715	3931	4135	3686	
3976	4724	4149	4021	3480	4717	3874	4144	3684	
3968	4705	4155	4018	3496	4731	3882	4115	3693	
3962	4691	4161	4023	3500	4733	3890	4119	3666	
3954	4693	4152	4014	3462	4727	3878	4112	3682	
3947	4684	4175	4013	3474	4725	3915	4106	3674	
3941	4666	4171	4025	3476	4725	3904	4093	3672	
3944	4661	4176	4020	3472	4705	3926	4098	3675	
3966	4681	4191	4034	3498	4703	3920	4094	3669	
3950	4719	4203	4048	3510	4736	3953	4111	3684	
3955	4700	4196	4051	3482	4725	3906	4097	3702	
